what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947738138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947740701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522947750379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522947755277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1522947766400
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1522947771574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1522947778171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522947780150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1522947793214
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522947796028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522947796351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947800378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947802795
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1522947803847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522947805539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522947813148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947816250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947843636
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1522947843658
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1522947850390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947864681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947873053
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1522947873072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947875691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1522947876789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947877431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1522947877440
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1522947879954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522947881047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522947881400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522947886194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522948071282
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1522948073150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1522948080116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522948082768
