what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523455166311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523455365965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1523455566298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523455568324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523455569525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523455569925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523456149026
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1523456278079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1523456280399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523456284007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523456491620
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1523456509707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523456514246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523456825293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523456897131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523456907768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1523456913600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523456914813
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523457794372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1523457803781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523457807013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523458095298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523458105350
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1523458105370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523458113000
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1523458117915
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1523458123146
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1523458424007
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1523458505595
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1523458505656
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1523458524701
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1523458524757
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1523458530613
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1523458530670
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1523458602846
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1523458602948
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1523458602994
started,bundle,org.eclipse.ant.core,3.2.201.v20110203_r362,"org.eclipse.ant.core",1523458603262
started,bundle,org.eclipse.pde.build,3.6.2.R36x_20110203,"org.eclipse.pde.build",1523458604431
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1523458605321
started,bundle,org.eclipse.equinox.p2.director.app,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.director.app",1523458605322
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1523458605334
started,bundle,org.eclipse.emf.ant,2.6.1.v20100905-1631,"org.eclipse.emf.ant",1523458605335
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1523458605335
