what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903020640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903023493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903032388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1522903039215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903042768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903056222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522903057503
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1522903060898
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1522903062429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903067400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903095516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903101502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522903101796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1522903126217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903128276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903128445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903129292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903129454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903140319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903186606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903190169
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522903190492
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1522903192106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903200482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903334091
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1522903338221
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1522903340061
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1522903342057
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1522903342341
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1522903342387
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903347910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903349217
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903349913
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903349913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903351466
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903509352
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1522903509357
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1522903510509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903511308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903704603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903705675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903756538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903758402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903758766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903760338
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903761592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903762083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903766563
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1522903766574
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1522903769127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1522903794745
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903798813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522903799092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903808282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1522903881082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1522903898200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1522903915586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1522903916012
