what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.8",1523366903098
java.vm.vendor,sysinfo,,,"Oracle Corporation",1523366903098
java.vm.version,sysinfo,,,"25.161-b12",1523366903098
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1523366903225
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1523366903260
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1523366903296
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1523366903298
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1523366903311
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1523366903334
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1523366903370
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1523366903491
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1523366903536
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1523366903734
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1523366903941
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1523366903942
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1523366904034
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1523366904156
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1523366904184
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1523366904594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523366906310
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1523366907059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523366918676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523366923403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523366923551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523366924346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1523366925962
